out.electricity.ceiling_fan.energy_consumption,out.electricity.clothes_dryer.energy_consumption,out.electricity.clothes_washer.energy_consumption,out.electricity.cooling_fans_pumps.energy_consumption,out.electricity.cooling.energy_consumption,out.electricity.dishwasher.energy_consumption,out.electricity.freezer.energy_consumption,out.electricity.heating_fans_pumps.energy_consumption,out.electricity.heating_hp_bkup.energy_consumption,out.electricity.heating.energy_consumption,out.electricity.hot_tub_heater.energy_consumption,out.electricity.hot_tub_pump.energy_consumption,out.electricity.hot_water.energy_consumption,out.electricity.lighting_exterior.energy_consumption,out.electricity.lighting_garage.energy_consumption,out.electricity.lighting_interior.energy_consumption,out.electricity.mech_vent.energy_consumption,out.electricity.plug_loads.energy_consumption,out.electricity.pool_heater.energy_consumption,out.electricity.pool_pump.energy_consumption,out.electricity.pv.energy_consumption,out.electricity.range_oven.energy_consumption,out.electricity.refrigerator.energy_consumption,out.electricity.well_pump.energy_consumption,out.fuel_oil.heating_hp_bkup.energy_consumption,out.fuel_oil.heating.energy_consumption,out.fuel_oil.hot_water.energy_consumption,out.natural_gas.clothes_dryer.energy_consumption,out.natural_gas.fireplace.energy_consumption,out.natural_gas.grill.energy_consumption,out.natural_gas.heating_hp_bkup.energy_consumption,out.natural_gas.heating.energy_consumption,out.natural_gas.hot_tub_heater.energy_consumption,out.natural_gas.hot_water.energy_consumption,out.natural_gas.lighting.energy_consumption,out.natural_gas.pool_heater.energy_consumption,out.natural_gas.range_oven.energy_consumption,out.propane.clothes_dryer.energy_consumption,out.propane.heating_hp_bkup.energy_consumption,out.propane.heating.energy_consumption,out.propane.hot_water.energy_consumption,out.propane.range_oven.energy_consumption,time
0.006,0,0,0,0,0,0.021,0.145,0.194,1.776,0,0,0.003,0.018,0,0.03,0,0.327,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/1/2018, 12:00:00 AM"
0.008,0,0,0,0,0,0.028,0.16,0,2.067,0,0,0.004,0.021,0,0.04,0,0.436,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/1/2018, 1:00:00 AM"
0.008,0,0,0,0,0,0.028,0.162,0,2.096,0,0,0.004,0.02,0,0.04,0,0.436,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/1/2018, 2:00:00 AM"
0.008,0,0,0,0,0,0.028,0.164,0,2.114,0,0,0.004,0.02,0,0.04,0,0.436,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/1/2018, 3:00:00 AM"
0.008,0,0,0,0,0,0.028,0.162,0,2.099,0,0,0.004,0.02,0,0.043,0,0.484,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/1/2018, 4:00:00 AM"
0.008,0,0,0,0,0,0.028,0.152,0,2.005,0,0,0.004,0.02,0,0.041,0,0.452,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/1/2018, 5:00:00 AM"
0.011,0,0,0,0,0,0.028,0.157,0,2.058,0,0,0.004,0.023,0,0.133,0,0.517,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/1/2018, 6:00:00 AM"
0.011,0,0,0,0,0,0.028,0.204,0.502,2.46,0,0,0.329,0.024,0,0.153,0,0.539,0,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/1/2018, 7:00:00 AM"
0.008,0,0,0,0,0,0.028,0.22,0.685,2.596,0,0,0.431,0.021,0,0.04,0,0.436,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/1/2018, 8:00:00 AM"
0.008,0,0,0,0,0,0.028,0.199,0,2.425,0,0,0.429,0.014,0,0.04,0,0.436,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/1/2018, 9:00:00 AM"
